item_id,is_p_off,is_p_off,is_flat_p,d_value,start_date,end_date,type,b_f,s_f,lf,comments,sa,sb,sbhi,,,,,,,,,,,,,,,,,,,,,,,,
12,0,0,1,370,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,1,332,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,910,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,1,199,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,1,180,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,71,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,1,71,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,1,175,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,1,85,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,1,85,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,1,33,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,66,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,1,113,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,1,47,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,1,47,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,1,108,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,1,15,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,1,15,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,1,149,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,1,72,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,1,28,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,1,140,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,1,559,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,1,275,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,1,26,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,1,37,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,1,305,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,1,305,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,1,237,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,1,23,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,1,23,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,1,23,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,23,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,1,46,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,1,54,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,1,54,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,1,54,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,54,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,1,310,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,1,99,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,1,99,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,1,68,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,1,27,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,1,27,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,45,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,180,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,134,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,160,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,160,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,1,115,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,1,115,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,1,115,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,1,74,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,1,74,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,1,22,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,1,35,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,1,35,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,1,70,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,1,140,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,1,140,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,1,140,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,1,140,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,1,65,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,1,65,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,1,195,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,1,30,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,1,145,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,1,45,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,1,90,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,1,90,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,1,90,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,1,180,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,1,160,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,1,79,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,1,69,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,1,69,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,1,69,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,1,125,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,1,85,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,0,1,140,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,1,55,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,1,85,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,1,85,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,1,23,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,1,23,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,1,27,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,1,65,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,1,80,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
